,lat,lon,City,Operator,Count,Date
0,38.81855061808057,-77.08628268042794,"Alexandria, VA",Bird,324,2021-05-17
1,41.82907032499653,-87.67723705371576,"Chicago, IL",Bird,606,2021-05-17
2,41.51695237835609,-81.64088431646648,"Cleveland, OH",Bird,38,2021-05-17
3,39.98705772441574,-83.01858862572396,"Columbus, OH",Bird,73,2021-05-17
4,34.05722793610018,-118.37987622954364,"Culver City, CA",Bird,75,2021-05-17
5,42.383947866272365,-83.10149890559578,"Detroit, MI",Bird,57,2021-05-17
6,38.84982456105002,-77.30280633404524,"Fairfax, VA",Bird,36,2021-05-17
7,39.79834664471956,-86.1628642961558,"Indianapolis,IN",Bird,224,2021-05-17
8,39.03821822950306,-94.55037514941705,"Kansas City, MO",Bird,224,2021-05-17
9,34.05722793610018,-118.37987622954364,"Los Angeles, CA",Bird,75,2021-05-17
10,38.15621886069139,-85.47252617649843,"Louisville, KY",Bird,10,2021-05-17
11,45.52315343022835,-122.61941138754544,"Portland, OR",Bird,91,2021-05-17
12,37.75111371669348,-122.4354379053031,"San Francisco, CA",Bird,7,2021-05-17
13,33.4196706032646,-111.8224939260463,"Tempe, AZ",Bird,164,2021-05-17
14,38.90766956847982,-77.01540052750417,"Washington, DC",Bird,26,2021-05-17
