Year,CBSA,CO 2nd Max 1-hr,CO 2nd Max 8-hr,NO2 98th Percentile 1-hr,NO2 Mean 1-hr,Ozone 2nd Max 1-hr,Ozone 4th Max 8-hr,SO2 99th Percentile 1-hr,SO2 2nd Max 24-hr,SO2 Mean 1-hr,PM2.5 98th Percentile 24-hr,PM2.5 Weighted Mean 24-hr,PM10 2nd Max 24-hr,PM10 Mean 24-hr,Lead Max 3-Mo Avg
2020,"Burlington-South Burlington, VT",0.9,0.6,29,5,0.06,0.056,1,1,0,18,6.8,16,6,.
2020,"Butte-Silver Bow, MT",.,.,.,.,.,.,.,.,.,41,7.6,123,19,.
2020,"Cadillac, MI",.,.,6,1,0.08,0.068,.,.,.,.,.,.,.,.
2020,"Cambridge, MD",.,.,.,.,0.07,0.062,1,1,0,10,4.4,.,.,.
2020,"Canton-Massillon, OH",.,.,.,.,0.08,0.066,.,.,.,20,9.1,.,.,0.13
2020,"Cape Coral-Fort Myers, FL",.,.,.,.,0.07,0.061,.,.,.,.,.,57,16,.
2020,"Carlsbad-Artesia, NM",.,.,.,5,0.09,0.073,.,.,.,.,.,.,.,.
2020,"Carson City, NV",.,.,.,.,0.09,0.075,.,.,.,61,8.8,.,.,.
2020,"Casper, WY",.,.,36,4,0.08,0.066,12,3,1,36,5,56,14,.
2020,"Cedar City, UT",.,.,40,6,0.07,0.061,.,.,.,17,5.4,.,.,.
2020,"Cedar Rapids, IA",.,.,.,.,0.07,0.064,43,13,0,22,9.4,62,21,.
2020,"Chambersburg-Waynesboro, PA",.,.,.,.,0.06,0.05,.,.,.,.,.,.,.,.
2020,"Champaign-Urbana, IL",0.2,0.1,.,.,0.08,0.069,3,1,0,17,7.5,.,.,.
2020,"Charleston, WV",1,0.6,.,.,0.07,0.057,4,2,1,14,7,.,.,.
2020,"Charleston-North Charleston, SC",.,.,30,6,0.07,0.053,2,1,0,16,7.1,.,.,.
2020,"Charlotte-Concord-Gastonia, NC-SC",1.5,1.3,32,9,0.08,0.06,2,1,0,18,8.4,49,13,.
2020,"Charlottesville, VA",.,.,.,.,0.06,0.055,.,.,.,13,6.9,.,.,.
2020,"Chattanooga, TN-GA",.,.,.,.,0.07,0.058,.,.,.,20,8.5,.,.,.
2020,"Cheyenne, WY",1.5,1,.,3,0.07,0.06,.,.,.,45,4.9,127,16,.
2020,"Chicago-Naperville-Elgin, IL-IN-WI",1.7,1.1,50,16,0.1,0.079,81,15,2,33,10.8,149,37,0.01
2020,"Chico, CA",7.2,3.6,27,5,0.1,0.074,.,.,.,92,16,325,36,.
2020,"Cincinnati, OH-KY-IN",1.9,1.7,49,17,0.08,0.071,41,15,2,25,10.8,48,20,.
2020,"Claremont-Lebanon, NH-VT",.,.,.,.,0.06,0.05,.,.,.,14,4.3,.,.,.
2020,"Clarksburg, WV",.,.,.,.,.,.,.,.,.,13,6.6,.,.,.
2020,"Clarksville, TN-KY",.,.,.,.,0.07,0.06,.,.,.,15,6.8,.,.,.
2020,"Clearlake, CA",.,.,.,.,0.07,0.059,.,.,.,85,9.3,114,20,.
2020,"Cleveland, MS",.,.,.,.,0.07,0.059,.,.,.,20,8.6,.,.,.
2020,"Cleveland-Elyria, OH",5.4,2.2,36,8,0.09,0.075,80,14,1,23,9.8,66,20,.
2020,"Clinton, IA",.,.,.,.,0.07,0.062,19,8,1,22,8.5,.,.,.
2020,"Colorado Springs, CO",1.7,1.1,.,.,0.09,0.079,9,4,1,21,6,50,20,.
2020,"Columbia, MO",.,.,.,.,0.07,0.057,.,.,.,.,.,.,.,.
2020,"Columbia, SC",1,0.4,.,3,0.07,0.055,2,1,0,17,7.7,42,14,.
2020,"Columbus, GA-AL",.,.,.,.,0.06,0.054,.,.,.,23,8.6,.,.,0.01
2020,"Columbus, IN",.,.,.,.,0.07,0.065,.,.,.,16,6.7,.,.,.
2020,"Columbus, OH",1.8,1.3,39,8,0.08,0.067,.,.,0,18,7.4,.,.,.
2020,"Concord, NH",.,.,.,.,0.07,0.055,24,7,1,.,.,.,.,.
2020,"Cookeville, TN",.,.,.,.,.,.,.,.,.,14,6.1,.,.,.
2020,"Corning, NY",0.3,0.2,.,.,0.06,0.053,1,1,0,11,4.4,.,.,.
2020,"Corpus Christi, TX",.,.,.,.,0.07,0.064,3,2,1,27,9.3,84,21,.
2020,"Corsicana, TX",.,.,.,2,0.07,0.062,123,21,2,.,.,.,.,.
2020,"Crestview-Fort Walton Beach-Destin, FL",.,.,.,.,0.07,0.056,.,.,.,.,.,55,16,.
2020,"Cullowhee, NC",.,.,.,.,.,.,.,.,.,13,6.1,.,.,.
2020,"Dallas-Fort Worth-Arlington, TX",1.5,1.1,45,12,0.1,0.077,8,2,0,23,9.8,73,22,0.04
2020,"Dalton, GA",.,.,.,.,0.06,0.057,.,.,.,.,.,.,.,.
2020,"Daphne-Fairhope-Foley, AL",.,.,.,.,0.06,0.057,.,.,.,17,7.9,.,.,.
2020,"Davenport-Moline-Rock Island, IA-IL",0.8,0.5,.,.,0.07,0.063,4,1,1,21,9.2,159,37,.
2020,"Dayton, OH",0.3,0.3,.,.,0.08,0.071,7,3,0,.,.,.,.,.
2020,"Decatur, AL",.,.,.,.,0.06,0.057,.,.,.,15,6.9,.,.,.
2020,"Decatur, IL",.,.,.,.,0.07,0.065,39,17,2,18,8.6,.,.,.
2020,"Deltona-Daytona Beach-Ormond Beach, FL",.,.,.,.,0.07,0.059,.,.,.,17,8.1,50,19,.
2020,"Deming, NM",.,.,.,.,.,.,.,.,.,.,.,126,26,.
2020,"Denver-Aurora-Lakewood, CO",3,1.7,71,25,0.1,0.087,7,3,1,42,10.5,104,35,.
2020,"Des Moines-West Des Moines, IA",.,.,33,6,0.07,0.057,.,.,.,17,7.6,61,19,.
2020,"Detroit-Warren-Dearborn, MI",2.4,1.8,44,13,0.09,0.074,76,17,2,26,10.6,50,24,0.04
2020,"Dickinson, ND",.,.,.,.,0.06,0.053,5,4,2,12,3.6,.,.,.
2020,"Douglas, GA",.,.,.,.,.,.,.,.,.,16,6.8,.,.,.
2020,"Dover, DE",.,.,.,.,0.07,0.062,.,.,.,.,.,.,.,.
2020,"DuBois, PA",.,.,.,.,0.06,0.053,.,.,.,.,.,.,.,.
2020,"Duluth, MN-WI",.,.,.,5,0.07,0.054,.,.,.,15,7.3,74,25,.
2020,"Durango, CO",.,.,7,1,0.08,0.066,.,.,.,.,.,.,.,.
2020,"Durham-Chapel Hill, NC",.,.,.,.,0.07,0.053,44,8,1,19,7.2,29,10,.
2020,"Dyersburg, TN",.,.,.,.,.,.,.,.,.,15,6.2,.,.,.
2020,"Eagle Pass, TX",.,.,.,.,.,.,.,.,.,24,7.9,.,.,.
2020,"East Stroudsburg, PA",.,.,.,.,0.06,0.053,.,.,.,.,.,.,.,.
2020,"Eau Claire, WI",.,.,.,.,0.07,0.063,.,.,.,17,7.7,47,15,.
2020,"El Centro, CA",4.6,2.7,51,10,0.11,0.08,7,2,0,24,9.8,190,53,.
2020,"El Dorado, AR",.,.,.,.,.,.,.,.,.,20,8.4,.,.,.
2020,"Elizabethtown-Fort Knox, KY",.,.,.,.,0.07,0.06,.,.,.,16,7.4,.,.,.
2020,"Elkhart-Goshen, IN",.,.,.,.,0.07,0.062,.,.,.,20,8.2,.,.,.
2020,"Elko, NV",.,.,.,.,.,.,.,.,.,.,.,125,25,.
2020,"El Paso, TX",3,1.7,59,13,0.1,0.079,7,2,0,23,9.1,99,37,.
2020,"Enid, OK",.,.,.,.,.,.,32,5,0,.,.,.,.,.
2020,"Erie, PA",1.3,0.5,31,4,0.07,0.061,.,.,.,16,6.5,37,12,.
2020,"Espa¤ola, NM",.,.,.,.,0.07,0.064,.,.,.,.,.,.,.,.
2020,"Eugene, OR",.,.,.,.,0.07,0.055,.,.,.,517,23.2,579,27,.
2020,"Eureka-Arcata-Fortuna, CA",1.7,1.5,16,2,0.05,0.04,1,1,0,.,.,131,20,.
2020,"Evanston, WY",.,.,.,.,0.08,0.068,.,.,.,.,.,47,10,.
2020,"Evansville, IN-KY",1.5,0.9,30,7,0.08,0.067,73,27,2,19,9.1,25,14,.
2020,"Fairbanks, AK",2.5,1.7,.,.,.,.,30,17,4,71,12,43,15,.
2020,"Fallon, NV",.,.,.,.,0.09,0.068,.,.,.,.,.,.,.,.
2020,"Fargo, ND-MN",.,.,34,4,0.06,0.056,3,3,1,14,6.4,.,.,.
2020,"Farmington, MO",.,.,.,.,.,.,.,.,.,.,.,.,.,0.03
2020,"Farmington, NM",.,.,29,10,0.08,0.069,13,4,1,.,.,91,12,.
2020,"Fayetteville, NC",.,.,.,.,0.06,0.055,.,.,.,17,6.8,.,.,.
2020,"Fayetteville-Springdale-Rogers, AR-MO",.,.,.,.,0.06,0.055,.,.,.,16,6.9,33,15,.
2020,"Fernley, NV",.,.,.,.,0.09,0.069,.,.,.,.,.,.,.,.
2020,"Flagstaff, AZ",.,.,.,.,0.07,0.063,.,.,.,.,.,.,.,.
2020,"Flint, MI",.,.,.,.,0.08,0.068,.,.,.,16,6.6,.,.,.
2020,"Florence, SC",.,.,.,.,0.06,0.052,.,.,.,15,6.7,.,.,.
2020,"Fond du Lac, WI",.,.,.,.,0.08,0.065,.,.,.,.,.,.,.,.
2020,"Fort Collins, CO",1.7,1.1,.,.,0.09,0.075,.,.,.,47,8.1,.,.,.
2020,"Fort Madison-Keokuk, IA-IL-MO",.,.,.,.,.,.,.,.,.,17,7.8,.,.,.
