Year,CBSA,CO 2nd Max 1-hr,CO 2nd Max 8-hr,NO2 98th Percentile 1-hr,NO2 Mean 1-hr,Ozone 2nd Max 1-hr,Ozone 4th Max 8-hr,SO2 99th Percentile 1-hr,SO2 2nd Max 24-hr,SO2 Mean 1-hr,PM2.5 98th Percentile 24-hr,PM2.5 Weighted Mean 24-hr,PM10 2nd Max 24-hr,PM10 Mean 24-hr,Lead Max 3-Mo Avg
2019,"La Crosse-Onalaska, WI-MN",.,.,.,.,0.07,0.058,.,.,.,22,7.6,.,.,.
2019,"Lafayette, LA",.,.,.,.,0.07,0.063,.,.,.,17,7.9,.,.,.
2019,"Lafayette-West Lafayette, IN",.,.,.,.,0.07,0.061,.,.,.,18,8.8,.,.,.
2019,"La Grande, OR",.,.,.,.,.,.,.,.,.,.,.,36,14,.
2019,"Lake Charles, LA",.,.,39,8,0.08,0.065,26,7,1,14,6.8,.,.,.
2019,"Lake City, FL",.,.,.,.,0.07,0.063,.,.,.,.,.,.,.,.
2019,"Lake Havasu City-Kingman, AZ",.,.,.,.,.,.,.,.,.,.,.,72,16,.
2019,"Lakeland-Winter Haven, FL",.,.,.,.,0.08,0.067,26,3,1,19,7.7,57,16,.
2019,"Lancaster, PA",.,.,.,.,0.08,0.065,.,.,.,36,11,51,16,0.07
2019,"Lansing-East Lansing, MI",.,.,44,7,0.06,0.055,4,2,1,.,.,.,.,.
2019,"Laramie, WY",.,.,.,.,0.08,0.065,.,.,.,12,4,82,22,.
2019,"Laredo, TX",3.7,2.8,.,.,0.07,0.059,.,.,.,29,10.7,48,25,.
2019,"Las Cruces, NM",.,.,46,7,0.09,0.077,.,.,.,21,8,488,40,.
2019,"Las Vegas-Henderson-Paradise, NV",2.7,2.4,58,24,0.08,0.07,5,2,0,26,8.3,104,29,.
2019,"Lawton, OK",.,.,.,.,0.07,0.066,.,.,.,17,8.2,.,.,.
2019,"Lebanon, PA",.,.,.,.,0.08,0.065,.,.,.,26,8.5,.,.,.
2019,"Lewiston-Auburn, ME",.,.,.,.,0.07,0.05,.,.,.,14,5.2,37,11,.
2019,"Lexington-Fayette, KY",.,.,42,6,0.07,0.059,4,2,0,18,8.2,28,13,.
2019,"Lima, OH",.,.,.,.,0.08,0.064,3,1,0,22,8.1,.,.,.
2019,"Lincoln, NE",.,.,.,.,0.07,0.056,33,13,1,19,6.5,.,.,.
2019,"Little Rock-North Little Rock-Conway, AR",2,1.2,38,8,0.07,0.06,13,10,1,24,10.3,38,19,.
2019,"Logan, UT-ID",.,.,33,4,0.07,0.062,.,.,.,54,7.6,.,.,.
2019,"Longview, TX",.,.,18,3,0.08,0.067,115,16,2,.,.,.,.,.
2019,"Los Angeles-Long Beach-Anaheim, CA",3.8,2.9,78,23,0.12,0.101,8,2,0,30,13.4,159,29,0.02
2019,"Louisville/Jefferson County, KY-IN",1.8,1.5,49,15,0.1,0.068,15,3,1,23,10.6,.,.,.
2019,"Lubbock, TX",.,.,.,.,.,.,.,.,.,14,6.4,.,.,.
2019,"Ludington, MI",.,.,.,.,0.07,0.057,.,.,.,.,.,.,.,.
2019,"Lynchburg, VA",.,.,.,.,.,.,.,.,.,12,6.2,.,.,.
2019,"Macon, GA",.,.,.,.,0.08,0.066,3,2,0,18,9.1,.,.,.
2019,"Madera, CA",.,.,29,6,0.09,0.075,.,.,.,31,9.7,155,36,.
2019,"Madison, WI",.,.,.,.,0.07,0.059,2,1,0,26,8,.,.,.
2019,"Malone, NY",.,.,.,.,.,.,1,1,0,.,.,.,.,.
2019,"Manchester-Nashua, NH",0.2,0.3,.,.,0.07,0.057,1,1,0,11,3.3,.,.,.
2019,"Manitowoc, WI",.,.,.,.,0.08,0.066,.,.,.,.,.,.,.,.
2019,"Marietta, OH",.,.,.,.,0.07,0.062,.,.,.,.,.,.,.,0
2019,"Marion, OH",.,.,.,.,.,.,.,.,.,.,.,.,.,0.02
2019,"Marshall, MN",.,.,.,.,0.07,0.06,.,.,.,18,5.9,.,.,.
2019,"Marshall, TX",.,.,16,2,0.07,0.062,54,12,2,.,.,.,.,.
2019,"Mason City, IA",.,.,.,.,.,.,.,.,.,.,.,41,17,.
2019,"McAlester, OK",.,.,.,.,0.07,0.065,.,.,.,14,6.8,.,.,0
2019,"McAllen-Edinburg-Mission, TX",.,.,.,.,0.06,0.053,.,.,.,30,10.7,50,24,.
2019,"Medford, OR",.,.,.,.,0.08,0.062,.,.,.,37,8.7,54,17,.
2019,"Memphis, TN-MS-AR",1,0.8,40,10,0.09,0.07,2,1,0,20,9.1,54,18,.
2019,"Merced, CA",.,.,34,6,0.09,0.072,.,.,.,30,9.6,80,29,.
2019,"Meridian, MS",.,.,.,.,0.07,0.059,.,.,.,.,.,.,.,.
2019,"Miami, OK",.,.,.,.,.,.,.,.,.,.,.,52,16,0.05
2019,"Miami-Fort Lauderdale-West Palm Beach, FL",2.2,1.7,48,15,0.07,0.06,1,1,1,19,8.9,54,21,.
2019,"Michigan City-La Porte, IN",.,.,.,.,0.09,0.071,.,.,.,24,7.9,.,.,.
2019,"Middlesborough, KY",.,.,.,.,0.07,0.059,.,.,.,17,7.3,.,.,.
2019,"Milwaukee-Waukesha-West Allis, WI",1.1,0.7,47,13,0.08,0.068,4,1,0,24,9.3,58,17,.
2019,"Minneapolis-St. Paul-Bloomington, MN-WI",5.5,1.4,41,8,0.07,0.062,10,5,1,24,8,83,29,0.07
2019,"Minot, ND",.,.,14,2,.,.,8,4,1,11,4.5,27,6,.
2019,"Missoula, MT",.,.,.,.,.,.,.,.,.,21,8.5,77,17,.
2019,"Mobile, AL",.,.,.,.,0.07,0.059,22,4,1,17,8.3,.,.,.
2019,"Modesto, CA",1.7,1.2,44,9,0.09,0.079,.,.,.,36,10.6,104,30,.
2019,"Monroe, LA",.,.,.,.,0.07,0.059,.,.,.,15,7.2,.,.,.
2019,"Monroe, MI",.,.,.,.,.,.,9,3,1,.,.,70,24,.
2019,"Montgomery, AL",.,.,.,.,0.07,0.06,.,.,.,16,8.9,33,15,.
2019,"Morehead City, NC",.,.,.,.,0.07,0.061,.,.,.,.,.,.,.,.
2019,"Morgantown, WV",.,.,.,.,0.07,0.06,14,4,1,15,7.2,.,.,.
2019,"Morristown, TN",.,.,.,.,0.08,0.065,.,.,.,.,.,.,.,.
2019,"Mount Pleasant, TX",.,.,.,.,.,.,31,5,0,.,.,.,.,.
2019,"Mount Vernon, IL",.,.,.,.,0.07,0.064,.,.,.,17,8.3,.,.,.
2019,"Mount Vernon, OH",.,.,.,.,0.08,0.063,.,.,.,.,.,.,.,.
2019,"Mount Vernon-Anacortes, WA",.,.,.,.,0.05,0.04,3,1,0,12,5.5,.,.,.
2019,"Muncie, IN",.,.,.,.,0.07,0.059,.,.,.,19,8.3,.,.,.
2019,"Muscatine, IA",.,.,.,.,.,.,25,6,1,23,8.1,36,16,.
2019,"Muskegon, MI",.,.,.,.,0.08,0.068,.,.,.,.,.,.,.,.
2019,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",.,.,.,.,0.07,0.064,60,16,1,.,.,.,.,.
2019,"Napa, CA",1.2,0.8,29,5,0.08,0.06,.,.,.,14,5.9,29,13,.
2019,"Naples-Immokalee-Marco Island, FL",.,.,.,.,0.07,0.059,.,.,.,.,.,.,.,.
2019,"Nashville-Davidson--Murfreesboro--Franklin, TN",1.7,1.3,51,14,0.08,0.066,.,.,.,17,7.8,32,15,.
2019,"New Castle, IN",.,.,.,.,.,.,.,.,.,17,7.7,.,.,.
2019,"New Castle, PA",.,.,.,.,0.07,0.056,.,.,.,.,.,.,.,0.01
2019,"New Haven-Milford, CT",1.8,1.2,46,12,0.11,0.084,2,1,0,21,7.9,67,16,.
2019,"New Orleans-Metairie, LA",1.9,1.6,43,10,0.08,0.063,53,13,2,17,7.8,79,17,0.09
2019,"New York-Newark-Jersey City, NY-NJ-PA",2.2,1.6,66,21,0.11,0.073,11,3,1,26,11,34,15,.
2019,"Niles-Benton Harbor, MI",.,.,.,.,0.08,0.066,.,.,.,.,.,.,.,.
2019,"Nogales, AZ",.,.,.,.,.,.,.,.,.,25,8.8,108,32,.
2019,"North Port-Sarasota-Bradenton, FL",.,.,.,.,0.08,0.068,5,3,1,15,6.8,54,17,.
2019,"Norwich-New London, CT",.,.,.,.,0.1,0.075,.,.,.,16,6.5,30,11,.
2019,"Ocala, FL",.,.,.,.,0.07,0.062,.,.,.,.,.,.,.,.
2019,"Odessa, TX",.,.,.,.,.,.,.,.,.,17,7.6,.,.,.
2019,"Ogden-Clearfield, UT",2.1,1.3,46,12,0.09,0.073,.,.,.,16,5.6,.,.,.
2019,"Ogdensburg-Massena, NY",.,.,.,.,.,.,82,44,4,.,.,.,.,.
2019,"Oklahoma City, OK",1.7,1,.,12,0.08,0.066,1,0,0,21,10,63,17,.
2019,"Olympia-Tumwater, WA",1.5,1,.,.,0.06,0.052,.,.,.,.,.,.,.,.
2019,"Omaha-Council Bluffs, NE-IA",1.9,1.6,.,.,0.07,0.062,38,14,1,22,7.8,50,20,0.06
2019,"Orlando-Kissimmee-Sanford, FL",0.9,0.7,30,4,0.08,0.072,3,1,0,16,6.9,47,12,.
2019,"Ottawa-Peru, IL",.,.,.,.,.,.,22,3,0,.,.,.,.,.
2019,"Owensboro, KY",.,.,27,4,0.08,0.063,34,7,1,20,8.7,.,.,.
2019,"Oxford, NC",.,.,.,.,0.08,0.062,.,.,.,.,.,.,.,.
2019,"Oxnard-Thousand Oaks-Ventura, CA",.,.,34,7,0.09,0.072,.,.,.,17,7.6,163,24,.
2019,"Paducah, KY-IL",.,.,32,5,0.08,0.061,13,2,0,21,9.5,28,15,.
2019,"Pahrump, NV",.,.,.,.,.,.,.,.,.,.,.,132,20,.
2019,"Palatka, FL",.,.,.,.,.,.,9,3,1,.,.,60,20,.
2019,"Palm Bay-Melbourne-Titusville, FL",.,.,.,.,0.07,0.058,.,.,.,.,.,.,.,.
2019,"Panama City, FL",.,.,.,.,0.07,0.062,.,.,.,.,.,.,.,.
2019,"Parkersburg-Vienna, WV",.,.,.,.,0.07,0.061,22,8,2,.,.,.,.,.
2019,"Payson, AZ",.,.,.,.,0.09,0.075,191,33,5,.,.,191,22,0.16
2019,"Pensacola-Ferry Pass-Brent, FL",.,.,.,.,0.08,0.065,12,2,1,.,.,.,.,.
2019,"Peoria, IL",.,.,.,.,0.08,0.064,17,4,1,19,8,.,.,.
2019,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2.2,1.7,52,13,0.09,0.072,17,3,1,30,10.2,44,17,0
2019,"Phoenix-Mesa-Scottsdale, AZ",2.9,2.3,52,25,0.1,0.076,5,3,1,33,11.3,222,59,0.05
2019,"Pierre, SD",.,.,.,.,.,.,.,.,.,11,3.3,.,.,.
2019,"Pittsburgh, PA",5.8,3,37,10,0.08,0.064,80,30,4,65,14.2,86,23,0
2019,"Pittsfield, MA",.,.,.,.,0.08,0.06,.,.,.,17,7.1,.,.,.
2019,"Platteville, WI",.,.,.,.,.,.,.,.,.,25,8.4,.,.,.
2019,"Pocatello, ID",.,.,.,.,.,.,39,17,4,.,.,67,17,.
2019,"Point Pleasant, WV-OH",.,.,.,.,.,.,61,10,2,.,.,.,.,.
2019,"Ponca City, OK",.,.,.,.,0.07,0.061,23,8,1,19,7.9,.,.,.
2019,"Ponce, PR",5,1,.,.,.,.,.,.,.,17,6.3,94,29,.
2019,"Port Angeles, WA",0.5,0.3,.,.,0.06,0.051,1,0,0,.,.,.,.,.
2019,"Portland-South Portland, ME",1.1,0.8,40,7,0.08,0.064,.,.,.,20,9.3,91,22,.
2019,"Portland-Vancouver-Hillsboro, OR-WA",1.8,1.4,33,11,0.08,0.065,3,1,0,25,7,29,11,.
2019,"Port St. Lucie, FL",.,.,.,.,0.07,0.06,.,.,.,.,.,.,.,.
2019,"Portsmouth, OH",.,.,.,.,.,.,32,10,1,13,6.7,77,11,.
2019,"Prescott, AZ",.,.,.,.,0.07,0.061,.,.,.,.,.,.,.,.
2019,"Price, UT",.,.,16,2,0.07,0.068,.,.,.,.,.,.,.,.
2019,"Prineville, OR",.,.,.,.,.,.,.,.,.,28,7.6,.,.,.
2019,"Providence-Warwick, RI-MA",2.2,1.7,52,17,0.08,0.066,2,1,0,18,8.3,37,16,.
2019,"Provo-Orem, UT",1.2,1,42,9,0.08,0.066,.,.,.,17,5.9,53,17,.
2019,"Pueblo, CO",.,.,.,.,.,.,.,.,.,8,4.7,50,18,.
2019,"Quincy, IL-MO",.,.,.,.,0.07,0.062,.,.,.,.,.,.,.,.
2019,"Racine, WI",.,.,.,.,0.08,0.066,.,.,.,.,.,.,.,.
2019,"Raleigh, NC",1.5,1.2,34,9,0.08,0.064,2,1,0,17,9.9,30,15,.
2019,"Rapid City, SD",.,.,.,6,0.07,0.057,7,2,1,16,5.9,170,36,.
2019,"Reading, PA",.,.,.,.,0.08,0.066,.,.,.,.,.,.,.,0.03
2019,"Red Bluff, CA",.,.,.,.,0.07,0.066,.,.,.,15,5.4,33,14,.
2019,"Redding, CA",.,.,.,.,0.07,0.063,.,.,.,23,6.7,32,14,.
2019,"Red Wing, MN",.,.,.,.,0.07,0.062,.,.,.,.,.,.,.,.
2019,"Reno, NV",2,1.5,46,11,0.08,0.066,3,1,0,16,6,77,20,.
2019,"Richmond, VA",1.7,1.2,43,12,0.08,0.064,14,3,1,16,7.8,27,11,.
2019,"Richmond-Berea, KY",.,.,.,.,.,.,.,.,.,.,.,.,.,0.02
2019,"Riverside-San Bernardino-Ontario, CA",2.2,1.2,74,29,0.14,0.106,7,3,2,36,15.5,243,47,0.01
2019,"Riverton, WY",.,.,4,1,0.07,0.065,64,14,1,26,7.2,34,13,.
2019,"Roanoke, VA",0.7,0.6,32,5,0.07,0.059,36,5,0,13,6.6,.,.,0.01
2019,"Rochester, MN",.,.,.,.,0.06,0.054,.,.,.,20,7.6,.,.,.
2019,"Rochester, NY",0.9,0.7,39,8,0.07,0.06,2,1,0,18,6.6,24,10,.
2019,"Rockford, IL",.,.,.,.,0.07,0.066,.,.,.,.,.,.,.,.
2019,"Rockland, ME",.,.,.,.,0.07,0.059,.,.,.,.,.,.,.,.
2019,"Rock Springs, WY",.,.,38,3,0.08,0.065,13,3,1,15,4.6,87,18,.
2019,"Rocky Mount, NC",.,.,.,.,0.07,0.06,.,.,.,.,.,.,.,.
2019,"Rome, GA",.,.,.,.,.,.,22,7,1,.,.,.,.,.
2019,"Rutland, VT",2.5,1,35,7,0.06,0.052,3,2,0,20,7.5,34,12,.
2019,"Sacramento--Roseville--Arden-Arcade, CA",1.7,1.3,55,12,0.1,0.071,3,1,0,30,8.4,90,22,.
2019,"St. Cloud, MN",.,.,.,.,0.07,0.061,.,.,.,.,.,.,.,.
2019,"St. George, UT",.,.,26,3,0.07,0.064,.,.,.,.,.,.,.,.
2019,"St. Joseph, MO-KS",.,.,.,.,0.07,0.061,.,.,.,.,.,.,.,.
2019,"St. Louis, MO-IL",2.4,1.7,45,11,0.1,0.07,36,7,1,30,11.2,99,35,0.15
2019,"St. Marys, PA",.,.,.,.,0.06,0.058,.,.,.,.,.,.,.,.
2019,"Salem, OH",.,.,.,.,.,.,3,2,0,.,.,26,13,0.01
2019,"Salem, OR",.,.,.,.,0.07,0.055,.,.,.,.,.,.,.,.
2019,"Salina, KS",.,.,.,.,.,.,.,.,.,.,.,.,.,0.05
2019,"Salinas, CA",4.5,0.8,26,4,0.07,0.058,.,.,.,13,5.7,76,19,.
2019,"Salisbury, MD-DE",.,.,.,.,0.07,0.065,1,0,0,21,7.6,.,.,.
2019,"Salt Lake City, UT",1.9,1.5,55,18,0.09,0.073,13,4,1,42,9,67,17,.
2019,"San Antonio-New Braunfels, TX",1.6,1.1,40,7,0.08,0.075,4,1,0,22,9.1,.,.,.
2019,"San Diego-Carlsbad, CA",3.5,1.7,47,14,0.1,0.076,1,0,0,27,13.7,153,32,0.02
2019,"Sandpoint, ID",.,.,.,.,.,.,.,.,.,.,.,40,13,.
2019,"San Francisco-Oakland-Hayward, CA",5.6,1.7,48,15,0.1,0.072,15,4,1,19,9.4,53,15,.
2019,"San Jose-Sunnyvale-Santa Clara, CA",2,1.5,52,14,0.09,0.064,2,1,0,25,9.1,75,18,0.07
2019,"San Juan-Carolina-Caguas, PR",17.9,3,83,14,.,.,.,.,.,20,7.5,.,.,.
2019,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",.,.,27,4,0.07,0.07,1,1,0,20,7,129,25,.
2019,"Santa Cruz-Watsonville, CA",.,.,.,.,0.07,0.052,.,.,.,13,6.5,.,.,.
2019,"Santa Fe, NM",.,.,.,.,0.08,0.066,.,.,.,7,2.9,.,.,.
2019,"Santa Maria-Santa Barbara, CA",2.3,0.6,26,5,0.08,0.068,3,2,1,16,6.8,87,22,.
2019,"Santa Rosa, CA",1.2,0.9,28,4,.,.,.,.,.,14,5.7,73,13,.
2019,"Savannah, GA",.,.,.,.,0.08,0.06,50,14,2,.,.,.,.,.
2019,"Sayre, PA",.,.,.,3,0.06,0.053,.,.,.,17,7.4,.,.,.
2019,"Scottsbluff, NE",.,.,.,.,.,.,.,.,.,12,4.8,.,.,.
2019,"Scranton--Wilkes-Barre--Hazleton, PA",1,0.8,42,8,0.07,0.063,3,2,0,.,.,26,12,.
2019,"Seattle-Tacoma-Bellevue, WA",1.4,1.1,57,18,0.08,0.056,6,2,1,28,8.8,22,10,.
2019,"Sebastian-Vero Beach, FL",.,.,.,.,0.07,0.059,.,.,.,.,.,.,.,.
2019,"Seneca, SC",.,.,.,.,0.08,0.065,1,0,0,.,.,.,.,.
2019,"Seneca Falls, NY",.,.,.,.,.,.,2,1,0,.,.,.,.,.
2019,"Sevierville, TN",.,.,.,.,0.07,0.062,.,.,.,.,.,.,.,.
2019,"Seymour, IN",.,.,.,.,0.07,0.06,.,.,.,.,.,.,.,.
2019,"Sheboygan, WI",.,.,.,.,0.08,0.068,.,.,.,.,.,.,.,.
2019,"Sheridan, WY",.,.,.,.,0.07,0.06,.,.,.,18,6,40,14,.
2019,"Show Low, AZ",.,.,.,.,0.08,0.066,.,.,.,.,.,35,13,.
2019,"Shreveport-Bossier City, LA",.,.,.,.,0.07,0.061,5,2,0,23,10.9,.,.,.
2019,"Sierra Vista-Douglas, AZ",.,.,.,.,0.07,0.066,.,.,.,10,5.1,97,26,.
2019,"Sioux City, IA-NE-SD",.,.,12,2,0.07,0.064,3,2,1,22,7.4,56,15,.
2019,"Sioux Falls, SD",1.1,0.5,31,5,0.07,0.065,2,1,0,23,6.9,37,12,.
2019,"Somerset, KY",.,.,.,.,0.06,0.057,.,.,.,14,7,.,.,.
2019,"Somerset, PA",.,.,.,.,0.07,0.06,.,.,.,.,.,.,.,.
2019,"Sonora, CA",.,.,.,.,0.08,0.069,.,.,.,.,.,.,.,.
2019,"South Bend-Mishawaka, IN-MI",.,.,40,9,0.08,0.065,.,.,.,24,8.3,.,.,.
2019,"Spartanburg, SC",.,.,.,.,0.09,0.068,.,.,.,15,7.7,.,.,.
2019,"Spokane-Spokane Valley, WA",.,.,.,.,0.07,0.057,.,.,.,25,7.5,87,20,.
2019,"Springfield, IL",.,.,.,.,0.07,0.062,.,.,.,18,8.2,.,.,.
2019,"Springfield, MA",1.5,1.2,44,10,0.09,0.066,3,2,0,17,7.7,15,6,.
2019,"Springfield, MO",.,.,.,.,0.07,0.06,.,.,.,.,.,33,12,.
2019,"Springfield, OH",.,.,.,.,0.08,0.066,3,3,0,23,10.4,.,.,.
2019,"State College, PA",.,.,29,3,0.07,0.059,3,1,0,25,9.8,.,.,.
2019,"Steamboat Springs, CO",.,.,.,.,.,.,.,.,.,.,.,73,17,.
2019,"Stockton-Lodi, CA",2.2,1.3,58,12,0.09,0.069,.,.,.,34,9.4,116,24,.
2019,"Summerville, GA",.,.,.,.,0.07,0.06,.,.,.,.,.,.,.,.
2019,"Syracuse, NY",.,.,.,.,0.07,0.058,1,1,0,15,6.4,.,.,.
2019,"Tallahassee, FL",0.7,0.5,.,.,0.08,0.063,.,.,.,20,7.6,.,.,.
2019,"Tampa-St. Petersburg-Clearwater, FL",1.9,1,37,10,0.09,0.07,11,3,1,18,7.7,64,22,0.09
2019,"Taos, NM",.,.,.,.,.,.,.,.,.,16,5,.,.,.
2019,"Terre Haute, IN",.,.,.,.,0.07,0.063,4,3,1,23,9.7,31,15,.
2019,"Texarkana, TX-AR",.,.,.,.,.,.,.,.,.,19,9.3,.,.,.
2019,"Toledo, OH",.,.,.,.,0.08,0.065,22,6,0,25,8.8,.,.,0.08
2019,"Topeka, KS",.,.,.,.,0.07,0.061,.,.,.,.,.,.,.,.
2019,"Torrington, CT",0.4,0.3,.,.,0.08,0.062,2,1,0,11,3.8,.,.,.
2019,"Traverse City, MI",.,.,.,.,0.07,0.057,.,.,.,.,.,.,.,.
2019,"Trenton, NJ",.,.,.,.,0.08,0.068,.,.,.,17,7.6,.,.,.
2019,"Troy, AL",.,.,.,.,.,.,.,.,.,.,.,.,.,0.16
2019,"Truckee-Grass Valley, CA",.,.,.,.,0.08,0.072,.,.,.,16,6.3,.,.,.
2019,"Tucson, AZ",1.2,0.6,30,7,0.08,0.065,1,0,0,9,5,139,39,.
2019,"Tulsa, OK",1.3,0.8,.,7,0.08,0.066,6,2,0,23,9.5,36,16,.
2019,"Tupelo, MS",.,.,.,.,0.07,0.061,.,.,.,.,.,.,.,.
2019,"Tuscaloosa, AL",.,.,.,.,0.07,0.06,.,.,.,15,7.9,.,.,.
2019,"Twin Falls, ID",.,.,.,.,.,.,.,.,.,9,3.9,.,.,.
2019,"Tyler, TX",.,.,14,2,0.08,0.067,.,.,.,.,.,.,.,.
2019,"Ukiah, CA",.,.,.,.,0.06,0.051,.,.,.,16,6,38,12,.
2019,"Urban Honolulu, HI",1.3,0.8,28,4,0.09,0.053,62,11,1,8,3.9,32,13,.
2019,"Valdosta, GA",.,.,.,.,.,.,.,.,.,15,7.6,.,.,.
2019,"Vallejo-Fairfield, CA",1.9,1.5,41,7,0.09,0.066,4,2,0,19,8.8,.,.,.
2019,"Vernal, UT",1.6,1.6,28,4,0.11,0.098,.,.,.,16,5.1,.,.,.
2019,"Victoria, TX",.,.,.,.,0.07,0.062,.,.,.,.,.,.,.,.
2019,"Vincennes, IN",.,.,.,.,0.07,0.061,.,.,.,.,.,.,.,.
2019,"Vineland-Bridgeton, NJ",.,.,35,6,0.08,0.068,.,.,.,19,7.8,.,.,.
2019,"Vineyard Haven, MA",.,.,.,.,0.09,0.071,.,.,.,.,.,.,.,.
2019,"Virginia Beach-Norfolk-Newport News, VA-NC",1.4,1,40,8,0.07,0.061,3,1,0,18,7.1,20,11,.
2019,"Visalia-Porterville, CA",.,.,55,10,0.1,0.083,.,.,.,46,12.9,284,46,.
2019,"Wabash, IN",.,.,.,.,0.07,0.064,.,.,.,.,.,.,.,.
2019,"Waco, TX",0.9,0.5,.,.,0.07,0.063,6,2,1,.,.,.,.,.
2019,"Warner Robins, GA",.,.,.,.,.,.,.,.,.,19,10.3,.,.,.
2019,"Warren, PA",.,.,.,.,.,.,55,10,1,.,.,.,.,.
2019,"Washington, IN",.,.,.,.,.,.,12,3,1,.,.,.,.,.
2019,"Washington, NC",.,.,.,.,.,.,13,2,0,.,.,.,.,.
2019,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2.1,1.6,49,16,0.09,0.075,5,3,1,32,9.1,46,17,.
2019,"Washington Court House, OH",.,.,.,.,0.07,0.061,.,.,.,.,.,.,.,.
2019,"Waterloo-Cedar Falls, IA",.,.,.,.,0.07,0.062,.,.,.,20,7.7,.,.,.
2019,"Watertown, SD",.,.,.,.,.,.,.,.,.,18,6.3,87,20,.
2019,"Watertown-Fort Atkinson, WI",.,.,.,.,0.07,0.061,.,.,.,.,.,.,.,.
2019,"Watertown-Fort Drum, NY",.,.,.,.,0.07,0.056,.,.,.,.,.,.,.,.
2019,"Wausau, WI",.,.,.,.,0.07,0.059,.,.,.,.,.,.,.,.
2019,"Weirton-Steubenville, WV-OH",.,.,.,.,0.07,0.059,75,19,3,39,9.6,49,16,.
2019,"Wenatchee, WA",.,.,.,.,.,.,1,1,0,.,.,.,.,.
2019,"Wheeling, WV-OH",1.9,0.9,31,7,0.07,0.06,9,7,2,22,9.2,35,16,.
2019,"Whitewater-Elkhorn, WI",.,.,.,.,0.08,0.062,.,.,.,.,.,.,.,.
2019,"Wichita, KS",.,.,21,6,0.08,0.062,3,2,1,.,.,51,16,.
2019,"Williamsport, PA",.,.,.,.,0.06,0.056,.,.,.,.,.,.,.,.
2019,"Williston, ND",.,.,.,.,0.07,0.058,70,66,2,13,4.1,22,6,.
2019,"Wilmington, NC",.,.,.,.,0.07,0.059,.,.,.,.,.,.,.,.
2019,"Wilmington, OH",.,.,.,.,0.08,0.065,.,.,.,.,.,.,.,.
2019,"Winchester, VA-WV",.,.,.,.,0.07,0.055,.,.,.,23,7.6,25,10,.
2019,"Winston-Salem, NC",.,.,34,7,0.08,0.065,5,2,0,24,9.5,33,14,.
2019,"Worcester, MA-CT",1.5,0.9,48,10,0.09,0.066,2,1,0,17,8.2,37,13,.
2019,"Yakima, WA",.,.,.,.,.,.,.,.,.,37,9.8,.,.,.
2019,"York-Hanover, PA",.,.,.,.,0.07,0.062,8,2,0,.,.,.,.,.
2019,"Youngstown-Warren-Boardman, OH-PA",.,.,.,.,0.08,0.067,5,3,0,21,9.2,34,15,.
2019,"Yuba City, CA",.,.,40,6,0.07,0.065,.,.,.,27,8.4,78,22,.
2019,"Yuma, AZ",.,.,.,.,0.08,0.065,.,.,.,16,7.9,174,35,.
2018,"Aberdeen, SD",.,.,.,.,.,.,.,.,.,22,6.9,49,25,.
2018,"Adrian, MI",.,.,.,.,0.08,0.071,.,.,.,23,8,.,.,.
2018,"Akron, OH",2,1.8,.,.,0.09,0.069,6,2,0,20,9,.,.,.
2018,"Albany, GA",.,.,.,.,.,.,.,.,.,24,8.5,.,.,.
2018,"Albany-Schenectady-Troy, NY",1.2,0.8,.,.,0.07,0.067,2,2,0,20,7.9,.,.,.
2018,"Albuquerque, NM",1.8,1,45,10,0.08,0.075,5,2,1,21,8.4,229,42,.
2018,"Alexandria, LA",.,.,.,.,.,.,.,.,.,23,8.2,.,.,.
2018,"Allentown-Bethlehem-Easton, PA-NJ",.,.,41,9,0.08,0.073,6,4,1,24,8,40,11,0.13
2018,"Altoona, PA",.,.,.,.,0.07,0.064,8,3,0,.,.,.,.,.
2018,"Amarillo, TX",.,.,.,.,0.08,0.072,133,21,3,.,.,.,.,.
2018,"Americus, GA",.,.,.,.,0.07,0.062,.,.,.,.,.,.,.,.
2018,"Anchorage, AK",4.4,2.7,.,.,0.05,0.044,.,.,.,19,5.4,155,18,.
2018,"Ann Arbor, MI",.,.,.,.,0.08,0.072,.,.,.,21,8.3,.,.,.
2018,"Appleton, WI",.,.,.,.,0.07,0.067,108,23,1,21,6.5,.,.,.
2018,"Ardmore, OK",.,.,.,.,0.09,0.075,.,.,.,24,8.6,.,.,.
2018,"Arecibo, PR",.,.,.,.,.,.,.,.,.,.,.,.,.,0.18
2018,"Arkadelphia, AR",.,.,.,.,0.07,0.062,.,.,.,.,.,.,.,.
2018,"Asheville, NC",.,.,.,.,0.08,0.065,213,84,5,14,6.5,.,.,.
2018,"Ashtabula, OH",.,.,.,.,0.08,0.069,5,2,0,.,.,.,.,.
2018,"Athens, OH",.,.,.,.,.,.,.,.,.,14,6.4,.,.,.
2018,"Athens, TN",.,.,.,.,.,.,.,.,.,15,7.4,.,.,.
2018,"Athens-Clarke County, GA",.,.,.,.,0.08,0.065,.,.,.,14,7.1,.,.,.
2018,"Atlanta-Sandy Springs-Roswell, GA",2.2,1.6,47,16,0.09,0.072,4,2,1,21,10,38,17,.
