,Lat,Lon,City,Operator,Date
91,33.781955,-84.368406,"Atlanta, GA",Spin,2021-05-17
92,33.775123,-84.399798,"Atlanta, GA",Spin,2021-05-17
93,33.781184,-84.388981,"Atlanta, GA",Spin,2021-05-17
94,33.762307,-84.392307,"Atlanta, GA",Spin,2021-05-17
95,33.776488,-84.370489,"Atlanta, GA",Spin,2021-05-17
96,33.755722,-84.398543,"Atlanta, GA",Spin,2021-05-17
97,33.760305,-84.395127,"Atlanta, GA",Spin,2021-05-17
98,33.745352,-84.357925,"Atlanta, GA",Spin,2021-05-17
99,33.786509,-84.387586,"Atlanta, GA",Spin,2021-05-17
100,33.785757,-84.37457,"Atlanta, GA",Spin,2021-05-17
101,33.77344,-84.352996,"Atlanta, GA",Spin,2021-05-17
102,33.758082,-84.39157,"Atlanta, GA",Spin,2021-05-17
103,33.734242,-84.41494,"Atlanta, GA",Spin,2021-05-17
104,33.781917,-84.368401,"Atlanta, GA",Spin,2021-05-17
105,33.744493,-84.419762,"Atlanta, GA",Spin,2021-05-17
106,33.747423,-84.403019,"Atlanta, GA",Spin,2021-05-17
107,33.758059,-84.393222,"Atlanta, GA",Spin,2021-05-17
108,33.754309,-84.3715,"Atlanta, GA",Spin,2021-05-17
109,33.772817,-84.383318,"Atlanta, GA",Spin,2021-05-17
110,33.761209,-84.365192,"Atlanta, GA",Spin,2021-05-17
111,33.784527,-84.382973,"Atlanta, GA",Spin,2021-05-17
112,33.785426,-84.382583,"Atlanta, GA",Spin,2021-05-17
113,33.78622,-84.387869,"Atlanta, GA",Spin,2021-05-17
114,33.779433,-84.390217,"Atlanta, GA",Spin,2021-05-17
115,33.806526,-84.43819,"Atlanta, GA",Spin,2021-05-17
116,33.7815218,-84.408095,"Atlanta, GA",Spin,2021-05-17
117,33.746283,-84.357137,"Atlanta, GA",Spin,2021-05-17
118,33.782066,-84.387782,"Atlanta, GA",Spin,2021-05-17
119,33.782912,-84.384414,"Atlanta, GA",Spin,2021-05-17
120,33.77084,-84.400856,"Atlanta, GA",Spin,2021-05-17
121,33.781879,-84.379683,"Atlanta, GA",Spin,2021-05-17
122,33.78183,-84.379618,"Atlanta, GA",Spin,2021-05-17
123,33.773252,-84.35268,"Atlanta, GA",Spin,2021-05-17
124,33.772619,-84.364478,"Atlanta, GA",Spin,2021-05-17
125,33.757088,-84.402332,"Atlanta, GA",Spin,2021-05-17
126,33.76184,-84.342107,"Atlanta, GA",Spin,2021-05-17
127,33.756698,-84.365685,"Atlanta, GA",Spin,2021-05-17
128,33.822171,-84.369493,"Atlanta, GA",Spin,2021-05-17
129,33.760211,-84.394353,"Atlanta, GA",Spin,2021-05-17
130,33.753741,-84.390417,"Atlanta, GA",Spin,2021-05-17
131,33.753639,-84.390371,"Atlanta, GA",Spin,2021-05-17
132,33.771298,-84.408415,"Atlanta, GA",Spin,2021-05-17
133,33.762298,-84.392275,"Atlanta, GA",Spin,2021-05-17
134,33.753557,-84.390395,"Atlanta, GA",Spin,2021-05-17
135,33.7844985,-84.3887192,"Atlanta, GA",Spin,2021-05-17
136,33.786649,-84.386402,"Atlanta, GA",Spin,2021-05-17
137,33.755083,-84.397131,"Atlanta, GA",Spin,2021-05-17
138,33.784303,-84.388361,"Atlanta, GA",Spin,2021-05-17
139,33.777551,-84.386384,"Atlanta, GA",Spin,2021-05-17
140,33.753236,-84.381637,"Atlanta, GA",Spin,2021-05-17
141,33.746289,-84.361454,"Atlanta, GA",Spin,2021-05-17
142,33.766756,-84.362692,"Atlanta, GA",Spin,2021-05-17
143,33.781746,-84.379632,"Atlanta, GA",Spin,2021-05-17
144,33.769506,-84.36241,"Atlanta, GA",Spin,2021-05-17
145,33.757173,-84.364087,"Atlanta, GA",Spin,2021-05-17
146,33.79294392579389,-84.38788344188367,"Atlanta, GA",Spin,2021-05-17
147,33.757033,-84.386127,"Atlanta, GA",Spin,2021-05-17
148,33.784627,-84.366916,"Atlanta, GA",Spin,2021-05-17
149,33.75858,-84.390974,"Atlanta, GA",Spin,2021-05-17
150,33.786551,-84.387524,"Atlanta, GA",Spin,2021-05-17
151,33.802664,-84.429448,"Atlanta, GA",Spin,2021-05-17
152,33.75758,-84.414149,"Atlanta, GA",Spin,2021-05-17
153,33.752501,-84.418098,"Atlanta, GA",Spin,2021-05-17
154,33.774382,-84.350341,"Atlanta, GA",Spin,2021-05-17
155,33.757993,-84.393237,"Atlanta, GA",Spin,2021-05-17
156,33.758788,-84.38512,"Atlanta, GA",Spin,2021-05-17
157,33.72584,-84.380357,"Atlanta, GA",Spin,2021-05-17
158,33.758801,-84.391827,"Atlanta, GA",Spin,2021-05-17
159,33.782599,-84.380312,"Atlanta, GA",Spin,2021-05-17
160,33.755378,-84.381241,"Atlanta, GA",Spin,2021-05-17
161,33.783241,-84.386445,"Atlanta, GA",Spin,2021-05-17
162,33.784679,-84.38306,"Atlanta, GA",Spin,2021-05-17
163,33.759223,-84.389245,"Atlanta, GA",Spin,2021-05-17
164,33.746602,-84.370559,"Atlanta, GA",Spin,2021-05-17
165,33.786227,-84.387828,"Atlanta, GA",Spin,2021-05-17
166,33.793314,-84.398318,"Atlanta, GA",Spin,2021-05-17
167,33.762273,-84.34041,"Atlanta, GA",Spin,2021-05-17
168,33.76103,-84.391968,"Atlanta, GA",Spin,2021-05-17
169,33.761052,-84.391996,"Atlanta, GA",Spin,2021-05-17
170,33.747534,-84.402998,"Atlanta, GA",Spin,2021-05-17
171,33.785248,-84.384245,"Atlanta, GA",Spin,2021-05-17
172,33.784406,-84.388622,"Atlanta, GA",Spin,2021-05-17
173,33.759808,-84.391768,"Atlanta, GA",Spin,2021-05-17
174,33.776944,-84.384294,"Atlanta, GA",Spin,2021-05-17
175,33.781847,-84.37252,"Atlanta, GA",Spin,2021-05-17
176,33.74675,-84.37388,"Atlanta, GA",Spin,2021-05-17
177,33.778491,-84.383299,"Atlanta, GA",Spin,2021-05-17
178,33.783002,-84.384244,"Atlanta, GA",Spin,2021-05-17
179,33.79296174614682,-84.38791693693703,"Atlanta, GA",Spin,2021-05-17
180,33.755838,-84.389851,"Atlanta, GA",Spin,2021-05-17
181,33.773807,-84.361862,"Atlanta, GA",Spin,2021-05-17
182,33.779025,-84.412731,"Atlanta, GA",Spin,2021-05-17
183,33.763166,-84.397194,"Atlanta, GA",Spin,2021-05-17
184,33.762252,-84.386132,"Atlanta, GA",Spin,2021-05-17
185,33.765611,-84.392336,"Atlanta, GA",Spin,2021-05-17
186,33.773914,-84.386472,"Atlanta, GA",Spin,2021-05-17
187,33.754245,-84.368243,"Atlanta, GA",Spin,2021-05-17
188,33.759712,-84.384224,"Atlanta, GA",Spin,2021-05-17
189,33.746057,-84.372426,"Atlanta, GA",Spin,2021-05-17
190,33.781893,-84.368416,"Atlanta, GA",Spin,2021-05-17
191,33.778133,-84.408342,"Atlanta, GA",Spin,2021-05-17
192,33.7581226624475,-84.39339694892358,"Atlanta, GA",Spin,2021-05-17
193,33.759689,-84.391877,"Atlanta, GA",Spin,2021-05-17
194,33.737044,-84.369983,"Atlanta, GA",Spin,2021-05-17
195,33.781828,-84.372543,"Atlanta, GA",Spin,2021-05-17
196,33.784327,-84.382893,"Atlanta, GA",Spin,2021-05-17
197,33.806982,-84.438156,"Atlanta, GA",Spin,2021-05-17
198,33.786732,-84.387354,"Atlanta, GA",Spin,2021-05-17
199,33.7645,-84.366587,"Atlanta, GA",Spin,2021-05-17
200,33.779593,-84.390469,"Atlanta, GA",Spin,2021-05-17
201,33.762129,-84.392306,"Atlanta, GA",Spin,2021-05-17
202,33.780925,-84.379517,"Atlanta, GA",Spin,2021-05-17
203,33.760706,-84.389192,"Atlanta, GA",Spin,2021-05-17
204,33.781758,-84.37972,"Atlanta, GA",Spin,2021-05-17
205,33.786287,-84.377888,"Atlanta, GA",Spin,2021-05-17
206,33.789107,-84.384332,"Atlanta, GA",Spin,2021-05-17
207,33.759278,-84.39135,"Atlanta, GA",Spin,2021-05-17
208,33.758217,-84.393489,"Atlanta, GA",Spin,2021-05-17
209,33.771412,-84.408385,"Atlanta, GA",Spin,2021-05-17
210,33.77947,-84.390394,"Atlanta, GA",Spin,2021-05-17
211,33.786278,-84.377902,"Atlanta, GA",Spin,2021-05-17
212,33.774551,-84.378514,"Atlanta, GA",Spin,2021-05-17
213,33.758787,-84.391158,"Atlanta, GA",Spin,2021-05-17
214,33.758064,-84.39164,"Atlanta, GA",Spin,2021-05-17
215,33.792184,-84.399697,"Atlanta, GA",Spin,2021-05-17
216,33.790009,-84.384715,"Atlanta, GA",Spin,2021-05-17
217,33.786335,-84.377924,"Atlanta, GA",Spin,2021-05-17
218,33.781476,-84.386563,"Atlanta, GA",Spin,2021-05-17
219,33.786325,-84.377863,"Atlanta, GA",Spin,2021-05-17
220,33.75985,-84.392202,"Atlanta, GA",Spin,2021-05-17
221,33.758544,-84.394168,"Atlanta, GA",Spin,2021-05-17
222,33.759563,-84.388425,"Atlanta, GA",Spin,2021-05-17
223,33.742041,-84.359797,"Atlanta, GA",Spin,2021-05-17
224,33.765287,-84.393549,"Atlanta, GA",Spin,2021-05-17
225,33.759007,-84.394404,"Atlanta, GA",Spin,2021-05-17
226,33.76105,-84.391966,"Atlanta, GA",Spin,2021-05-17
227,33.786304,-84.377917,"Atlanta, GA",Spin,2021-05-17
228,33.751397,-84.383008,"Atlanta, GA",Spin,2021-05-17
229,33.759748,-84.391776,"Atlanta, GA",Spin,2021-05-17
230,33.768562,-84.415589,"Atlanta, GA",Spin,2021-05-17
231,33.762366,-84.393329,"Atlanta, GA",Spin,2021-05-17
232,33.762173,-84.358569,"Atlanta, GA",Spin,2021-05-17
233,33.783911,-84.382322,"Atlanta, GA",Spin,2021-05-17
234,33.737169,-84.370039,"Atlanta, GA",Spin,2021-05-17
235,33.758998,-84.392065,"Atlanta, GA",Spin,2021-05-17
236,33.786369,-84.377797,"Atlanta, GA",Spin,2021-05-17
237,33.7892544,-84.3878202,"Atlanta, GA",Spin,2021-05-17
238,33.806482,-84.438188,"Atlanta, GA",Spin,2021-05-17
239,33.804796,-84.393705,"Atlanta, GA",Spin,2021-05-17
240,33.754367,-84.381172,"Atlanta, GA",Spin,2021-05-17
241,33.786434,-84.387877,"Atlanta, GA",Spin,2021-05-17
242,33.761809,-84.396456,"Atlanta, GA",Spin,2021-05-17
243,33.758173,-84.393461,"Atlanta, GA",Spin,2021-05-17
244,33.762371,-84.393334,"Atlanta, GA",Spin,2021-05-17
245,33.783274,-84.383595,"Atlanta, GA",Spin,2021-05-17
246,33.780989,-84.366542,"Atlanta, GA",Spin,2021-05-17
247,33.76029,-84.395072,"Atlanta, GA",Spin,2021-05-17
248,33.78596,-84.410294,"Atlanta, GA",Spin,2021-05-17
249,33.76537,-84.396823,"Atlanta, GA",Spin,2021-05-17
250,33.759747,-84.391837,"Atlanta, GA",Spin,2021-05-17
251,33.768857,-84.352647,"Atlanta, GA",Spin,2021-05-17
252,33.781976,-84.390337,"Atlanta, GA",Spin,2021-05-17
253,33.779141,-84.407709,"Atlanta, GA",Spin,2021-05-17
254,33.777408,-84.408776,"Atlanta, GA",Spin,2021-05-17
255,33.760302,-84.395991,"Atlanta, GA",Spin,2021-05-17
256,33.799104,-84.412496,"Atlanta, GA",Spin,2021-05-17
257,33.746628,-84.369643,"Atlanta, GA",Spin,2021-05-17
258,33.755595,-84.398399,"Atlanta, GA",Spin,2021-05-17
259,33.762107,-84.395421,"Atlanta, GA",Spin,2021-05-17
260,33.795615,-84.370812,"Atlanta, GA",Spin,2021-05-17
261,33.756559,-84.40469,"Atlanta, GA",Spin,2021-05-17
262,33.774044,-84.370985,"Atlanta, GA",Spin,2021-05-17
263,33.781971,-84.368411,"Atlanta, GA",Spin,2021-05-17
264,33.760262,-84.395018,"Atlanta, GA",Spin,2021-05-17
265,33.739035,-84.366917,"Atlanta, GA",Spin,2021-05-17
266,33.760311,-84.394953,"Atlanta, GA",Spin,2021-05-17
267,33.746607,-84.372415,"Atlanta, GA",Spin,2021-05-17
268,33.762091,-84.395432,"Atlanta, GA",Spin,2021-05-17
269,33.762141,-84.396193,"Atlanta, GA",Spin,2021-05-17
270,33.776826,-84.386911,"Atlanta, GA",Spin,2021-05-17
271,33.762295,-84.392237,"Atlanta, GA",Spin,2021-05-17
272,33.761988,-84.395434,"Atlanta, GA",Spin,2021-05-17
273,33.777875,-84.38726,"Atlanta, GA",Spin,2021-05-17
274,33.758975,-84.392013,"Atlanta, GA",Spin,2021-05-17
275,33.758043,-84.393277,"Atlanta, GA",Spin,2021-05-17
276,33.749126,-84.346353,"Atlanta, GA",Spin,2021-05-17
277,33.762367,-84.393328,"Atlanta, GA",Spin,2021-05-17
