,Lat,Lon,City,Operator,Date
96,38.863,-77.059,"Arlington, VA",Lime,2021-05-17
97,38.8631,-77.0594,"Arlington, VA",Lime,2021-05-17
98,38.8632,-77.0595,"Arlington, VA",Lime,2021-05-17
99,38.8594,-77.0596,"Arlington, VA",Lime,2021-05-17
100,38.8639,-77.0598,"Arlington, VA",Lime,2021-05-17
101,38.8636,-77.0598,"Arlington, VA",Lime,2021-05-17
102,38.8706,-77.0599,"Arlington, VA",Lime,2021-05-17
103,38.8622,-77.0599,"Arlington, VA",Lime,2021-05-17
104,38.8583,-77.0605,"Arlington, VA",Lime,2021-05-17
105,38.8646,-77.061,"Arlington, VA",Lime,2021-05-17
106,38.8448,-77.0618,"Arlington, VA",Lime,2021-05-17
107,38.862,-77.0633,"Arlington, VA",Lime,2021-05-17
108,38.8599,-77.0643,"Arlington, VA",Lime,2021-05-17
109,38.8618,-77.0632,"Arlington, VA",Lime,2021-05-17
110,38.8645,-77.0636,"Arlington, VA",Lime,2021-05-17
111,38.8643,-77.0643,"Arlington, VA",Lime,2021-05-17
112,38.8698,-77.0667,"Arlington, VA",Lime,2021-05-17
113,38.8903,-77.0668,"Arlington, VA",Lime,2021-05-17
114,38.8931,-77.0683,"Arlington, VA",Lime,2021-05-17
115,38.8449,-77.0685,"Arlington, VA",Lime,2021-05-17
116,38.8943,-77.0702,"Arlington, VA",Lime,2021-05-17
117,38.8939,-77.0704,"Arlington, VA",Lime,2021-05-17
118,38.8938,-77.0707,"Arlington, VA",Lime,2021-05-17
119,38.8941,-77.0709,"Arlington, VA",Lime,2021-05-17
120,38.8939,-77.071,"Arlington, VA",Lime,2021-05-17
121,38.8457,-77.0713,"Arlington, VA",Lime,2021-05-17
122,38.889,-77.0715,"Arlington, VA",Lime,2021-05-17
123,38.894,-77.0715,"Arlington, VA",Lime,2021-05-17
124,38.8937,-77.0721,"Arlington, VA",Lime,2021-05-17
125,38.897,-77.0722,"Arlington, VA",Lime,2021-05-17
126,38.8957,-77.0724,"Arlington, VA",Lime,2021-05-17
127,38.8673,-77.0725,"Arlington, VA",Lime,2021-05-17
128,38.8957,-77.0725,"Arlington, VA",Lime,2021-05-17
129,38.8939,-77.0694,"Arlington, VA",Lime,2021-05-17
130,38.8941,-77.0705,"Arlington, VA",Lime,2021-05-17
131,38.8943,-77.0708,"Arlington, VA",Lime,2021-05-17
132,38.8943,-77.0714,"Arlington, VA",Lime,2021-05-17
133,38.8937,-77.0722,"Arlington, VA",Lime,2021-05-17
134,38.8946,-77.0764,"Arlington, VA",Lime,2021-05-17
135,38.892,-77.0765,"Arlington, VA",Lime,2021-05-17
136,38.8962,-77.0765,"Arlington, VA",Lime,2021-05-17
137,38.8962,-77.0765,"Arlington, VA",Lime,2021-05-17
138,38.891,-77.077,"Arlington, VA",Lime,2021-05-17
139,38.892,-77.077,"Arlington, VA",Lime,2021-05-17
140,38.8996,-77.0773,"Arlington, VA",Lime,2021-05-17
141,38.8941,-77.0774,"Arlington, VA",Lime,2021-05-17
142,38.8894,-77.0775,"Arlington, VA",Lime,2021-05-17
143,38.8895,-77.0775,"Arlington, VA",Lime,2021-05-17
144,38.8991,-77.078,"Arlington, VA",Lime,2021-05-17
145,38.8635,-77.0781,"Arlington, VA",Lime,2021-05-17
146,38.8899,-77.0781,"Arlington, VA",Lime,2021-05-17
147,38.8912,-77.0784,"Arlington, VA",Lime,2021-05-17
148,38.897,-77.0787,"Arlington, VA",Lime,2021-05-17
149,38.8957,-77.079,"Arlington, VA",Lime,2021-05-17
150,38.8888,-77.0794,"Arlington, VA",Lime,2021-05-17
151,38.8888,-77.0794,"Arlington, VA",Lime,2021-05-17
152,38.8888,-77.0794,"Arlington, VA",Lime,2021-05-17
153,38.8932,-77.0804,"Arlington, VA",Lime,2021-05-17
154,38.8897,-77.0804,"Arlington, VA",Lime,2021-05-17
155,38.8983,-77.0804,"Arlington, VA",Lime,2021-05-17
156,38.8883,-77.0811,"Arlington, VA",Lime,2021-05-17
157,38.8912,-77.0819,"Arlington, VA",Lime,2021-05-17
158,38.8896,-77.0824,"Arlington, VA",Lime,2021-05-17
159,38.8896,-77.0826,"Arlington, VA",Lime,2021-05-17
160,38.8898,-77.0826,"Arlington, VA",Lime,2021-05-17
161,38.892,-77.0826,"Arlington, VA",Lime,2021-05-17
162,38.8989,-77.0831,"Arlington, VA",Lime,2021-05-17
163,38.8997,-77.0833,"Arlington, VA",Lime,2021-05-17
164,38.8496,-77.0845,"Arlington, VA",Lime,2021-05-17
165,38.8871,-77.0845,"Arlington, VA",Lime,2021-05-17
166,38.8915,-77.0848,"Arlington, VA",Lime,2021-05-17
167,38.8914,-77.0848,"Arlington, VA",Lime,2021-05-17
168,38.8856,-77.085,"Arlington, VA",Lime,2021-05-17
169,38.8844,-77.0851,"Arlington, VA",Lime,2021-05-17
170,38.8491,-77.0853,"Arlington, VA",Lime,2021-05-17
171,38.8797,-77.0856,"Arlington, VA",Lime,2021-05-17
172,38.8905,-77.0856,"Arlington, VA",Lime,2021-05-17
173,38.8799,-77.0856,"Arlington, VA",Lime,2021-05-17
